Date,Open,High,Low,Close,Adj Close,Volume
2020-09-02,1.620000,1.650000,1.620000,1.650000,1.593844,1251040
2020-09-03,1.640000,1.650000,1.620000,1.650000,1.623359,111540
2020-09-04,1.640000,1.650000,1.590000,1.630000,1.603682,90306
2020-09-07,1.630000,1.650000,1.620000,1.630000,1.603682,128039
2020-09-08,1.640000,1.640000,1.600000,1.620000,1.593844,33545
2020-09-09,1.620000,1.620000,1.580000,1.580000,1.554490,90463
2020-09-10,1.590000,1.620000,1.590000,1.600000,1.574167,187411
2020-09-11,1.610000,1.620000,1.590000,1.600000,1.574167,28268
2020-09-14,1.600000,1.640000,1.600000,1.640000,1.613521,76112
2020-09-15,1.620000,1.650000,1.620000,1.620000,1.593844,340915
2020-09-16,1.620000,1.630000,1.600000,1.610000,1.584005,96520
2020-09-17,1.610000,1.630000,1.610000,1.610000,1.584005,241149
2020-09-18,1.610000,1.640000,1.580000,1.580000,1.554490,274563
2020-09-21,1.580000,1.580000,1.550000,1.580000,1.554490,127914
2020-09-22,1.580000,1.600000,1.580000,1.600000,1.574167,107771
2020-09-23,1.600000,1.610000,1.580000,1.610000,1.584005,173728
2020-09-24,1.600000,1.610000,1.590000,1.600000,1.574167,120632
2020-09-25,1.600000,1.620000,1.590000,1.620000,1.593844,86119
2020-09-28,1.610000,1.620000,1.600000,1.620000,1.593844,145487
2020-09-29,1.620000,1.640000,1.610000,1.640000,1.613521,120316
2020-09-30,1.640000,1.640000,1.610000,1.620000,1.593844,98325
2020-10-01,1.620000,1.640000,1.610000,1.630000,1.603682,57021
2020-10-02,1.630000,1.630000,1.590000,1.590000,1.564328,187267
2020-10-05,1.590000,1.610000,1.590000,1.610000,1.584005,36089
2020-10-06,1.610000,1.610000,1.590000,1.600000,1.574167,453440
2020-10-07,1.600000,1.620000,1.600000,1.620000,1.593844,179220
2020-10-08,1.620000,1.630000,1.610000,1.620000,1.593844,41444
2020-10-09,1.620000,1.650000,1.620000,1.650000,1.623359,157671
2020-10-12,1.650000,1.680000,1.630000,1.670000,1.643036,254329
2020-10-13,1.670000,1.700000,1.670000,1.680000,1.652875,218522
2020-10-14,1.680000,1.690000,1.650000,1.680000,1.652875,179137
2020-10-15,1.680000,1.700000,1.660000,1.680000,1.652875,68263
2020-10-16,1.670000,1.700000,1.660000,1.700000,1.672552,70553
2020-10-19,1.700000,1.720000,1.690000,1.720000,1.692229,97939
2020-10-20,1.720000,1.750000,1.720000,1.750000,1.721745,85492
2020-10-21,1.750000,1.810000,1.720000,1.720000,1.692229,142340
2020-10-22,1.750000,1.790000,1.750000,1.770000,1.741422,113673
2020-10-23,1.760000,1.770000,1.730000,1.740000,1.711906,37486
2020-10-27,1.740000,1.770000,1.740000,1.750000,1.721745,216640
2020-10-28,1.760000,1.780000,1.750000,1.750000,1.721745,120270
2020-10-29,1.740000,1.750000,1.720000,1.730000,1.702068,124755
2020-10-30,1.740000,1.760000,1.720000,1.720000,1.692229,296658
2020-11-02,1.730000,1.730000,1.700000,1.720000,1.692229,301872
2020-11-03,1.720000,1.730000,1.710000,1.720000,1.692229,668897
2020-11-04,1.730000,1.740000,1.720000,1.720000,1.692229,148884
2020-11-05,1.730000,1.770000,1.730000,1.730000,1.702068,1865544
2020-11-06,1.740000,1.780000,1.740000,1.780000,1.751260,214091
2020-11-09,1.780000,1.850000,1.780000,1.820000,1.790615,611755
2020-11-10,1.830000,1.920000,1.830000,1.850000,1.820130,164194
2020-11-11,1.860000,1.890000,1.750000,1.750000,1.721745,236648
2020-11-12,1.780000,1.850000,1.780000,1.840000,1.810292,119244
2020-11-13,1.830000,1.840000,1.800000,1.800000,1.770937,108407
2020-11-16,1.800000,1.850000,1.790000,1.800000,1.770937,147067
2020-11-17,1.810000,1.850000,1.800000,1.830000,1.800453,104721
2020-11-18,1.850000,1.880000,1.810000,1.810000,1.780776,112620
2020-11-19,1.830000,1.850000,1.810000,1.810000,1.780776,133171
2020-11-20,1.820000,1.850000,1.820000,1.820000,1.790615,53958
2020-11-23,1.840000,1.850000,1.820000,1.840000,1.810292,113732
2020-11-24,1.840000,1.890000,1.820000,1.820000,1.790615,182296
2020-11-25,1.840000,1.850000,1.840000,1.840000,1.810292,69009
2020-11-26,1.880000,1.880000,1.840000,1.850000,1.820130,365821
2020-11-27,1.850000,1.870000,1.840000,1.860000,1.829969,97723
2020-11-30,1.860000,1.860000,1.830000,1.830000,1.800453,208758
2020-12-01,1.840000,1.870000,1.840000,1.850000,1.820130,159126
2020-12-02,1.860000,1.870000,1.840000,1.840000,1.810292,200388
2020-12-03,1.860000,1.870000,1.840000,1.840000,1.810292,347768
2020-12-04,1.870000,1.880000,1.850000,1.860000,1.829969,112243
2020-12-07,1.880000,1.900000,1.880000,1.880000,1.849646,203693
2020-12-08,1.890000,1.900000,1.850000,1.870000,1.839807,639134
2020-12-09,1.880000,1.890000,1.870000,1.870000,1.839807,209233
2020-12-10,1.870000,1.880000,1.850000,1.850000,1.820130,392671
2020-12-11,1.850000,1.910000,1.840000,1.860000,1.829969,492080
2020-12-14,1.870000,1.910000,1.870000,1.910000,1.879161,72430
2020-12-15,1.900000,1.900000,1.880000,1.900000,1.869323,361913
2020-12-16,1.900000,1.920000,1.900000,1.900000,1.869323,610719
2020-12-17,1.920000,1.940000,1.910000,1.940000,1.908677,150869
2020-12-18,1.940000,1.990000,1.940000,1.960000,1.928354,239596
2020-12-21,1.970000,1.990000,1.960000,1.980000,1.948031,97298
2020-12-22,1.990000,2.000000,1.960000,1.970000,1.938193,436405
2020-12-23,1.960000,1.970000,1.950000,1.960000,1.928354,158672
2020-12-24,1.970000,1.970000,1.950000,1.960000,1.928354,366976
2020-12-29,1.960000,1.960000,1.940000,1.950000,1.918516,61968
2020-12-30,1.950000,1.970000,1.940000,1.950000,1.918516,348294
